Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Client Reported,System Error,IRWIN-623,Manage Business Page - Error when updating a business,Open,Unassigned,4/3/14 13:49,"This error is show up in the error log but the data is saving correctly through the UI. This is really a concern. 
",7/10/14 10:46,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-626,Adopt-a-Highway permit,In Progress,Paul Fuller,4/8/14 11:29,"NDOT wants to be able to do this type of permit under temporary permit. FHWA no longer wants to be part of the approval process, they just want to be notified.",7/16/15 8:11,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-661,IRWIN-626 Understand and identify Create Permit page to add new permit type(Adopt A Highway) in the drop down .,Open,Unassigned,2/5/15 9:52,,2/5/15 9:52,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-662,"IRWIN-626 Implement temporary permit page functionality for Applicant Page, Location Page, Work Details, Print Permit page.",Open,Unassigned,2/5/15 10:00,,2/5/15 10:00,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-663,IRWIN-626 Analyze and implement Print Permit “Generate Document” link,Open,Unassigned,2/5/15 10:01,,2/5/15 10:01,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-664,"IRWIN-626 Modify Dashboard for(Open Permit type for District,# of Days,Permit Type,) to not include Adopt A Highway permits",Open,Unassigned,2/5/15 10:02,,2/5/15 10:02,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-665,"IRWIN-626 Modify ""My Dashboard Result List"" page to have a section added for ""Adopt A Highway permit type"" to users have permission to view this section",Open,Unassigned,2/5/15 10:03,,2/5/15 10:03,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-629,Document Management - Not uploading document type Map correctly,Open,Unassigned,4/30/14 12:13,"Mat_Site# is field27, not required. I looks like it is putting the updated information in the Mat_Site# field instead of the Remarks field(field22)",7/10/14 10:46,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-638,"Task assignments ""assigned to"" lists everyone",Open,James Perry,11/20/14 10:47,It should list only the utility crew.,11/20/14 10:47,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-642,"When a temporary permit goes from environmental to DE or TE, add permit coordinator to the cc for the email",Open,James Perry,12/16/14 9:59,,12/16/14 9:59,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-643,Project Tracking Task Assingment - drop down list should show a subset of individuals,Open,James Perry,12/16/14 10:00,"If I click under Project Tracking  Task Assignment the list should show; 
1. Utility Relocation should show all of the persons assigned to “Utility” 
2. Acquisition should display all persons assign to “Relocation Agent” or “Acquisition Agent” 
3. Relocation should display all persons assign to “Relocation Agent” or “Acquisition Agent” 
4. Appraisal should display all persons assign to “Appraisal Reviewer” or “Appraisal Specialist” or “ Appraiser” 
5. Title should display all persons assign “ROW Engineer Tech” or “Tech Reviewer” 
",12/16/14 10:01,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-644,"Adding a new buisness an error shows up in the error log, but the business appears to be added successfully",Open,James Perry,12/16/14 10:02,"When adding a new business this shows up in the error log but the application works ok. Something to check for! (Prod & Test) 
ORA-06502: PL/SQL: numeric or value error: character to number conversion error ORA-06512: at ""ADMIN.PKG_ADMIN"", line 5979 ORA-06502: PL/SQL: numeric or value error: character to number conversion error ORA-01403: no data found ORA-06512: at line 1 12/3/2014 2:42:47 PM 10789 ASP.admin_managebusiness_aspx 

",12/16/14 10:02,NDOT - IRWIN,,,
Change Request - New Feature,Functionality Incomplete,IRWIN-645,When a temporary permit is not accepted by HQ and sent back for review it is disappearing from dashboards,Open,James Perry,12/16/14 10:04,"The dashboard ID is being set to 150 which is a reject from HQ, it does not show up in any dashboard and you cannot move it again in the workflow. It appears that Dashboard 150 is not the correct number for the dashboard. 

",12/16/14 10:04,NDOT - IRWIN,,,
Bug - Client Reported,System Error,IRWIN-654,Project Documents are showing contract documents even though no contract is associated.,Open,James Perry,1/19/15 14:26,"There is no contract# associated with this Project, it should not be showing anything and there are 2 sections to contract #1(should have 2 items listed)",1/19/15 14:26,NDOT - IRWIN,,,
Change Request - New Feature,New Feature,IRWIN-655,Cheif RW Agent Report,Open,James Perry,1/19/15 14:28,"See attached sample page for Paul Saucedo’s(Chief RW Agent) report. This is what the added fields you recently added and I have one more to be added to accomplish all the required information to product this report. Field name : Construction #(example: 60661) It needs to be the format as the EA Number field as well as the View attached with the where statement and make sure I can have the EA number multiple time in the PST. 
Ea Number’s start with 5 or 7 (RW work), so I can have multiple projects with the same EA but different Construction #. 
Construction # start with 5 or 6 (Construction work, each phase has a separate #) 
5’s are emergency work and can be used by RW or Construct. 
Can you add the fiels between the EA Number & Contract Number, they display fields can be shortened. 6 digit fields. 
",1/19/15 14:28,NDOT - IRWIN,,,
Database Subtask,Functionality Incomplete,IRWIN-656,IRWIN-655 Add new field to database for IRWIN-655,Deliver to Client,James Perry,1/19/15 14:29,,2/3/15 15:09,NDOT - IRWIN,,,
Change Request - Improvement,Functionality Incomplete,IRWIN-47,BBD039 - Notification of Removal is needed.,Open,Unassigned,6/14/11 14:43,"On the application details page. When the remove date is added/removed then it needs notify HQ per email popup. 

Email Subject: IRWIN - Billboard 
Email Message: 
ADD: Permit / Tag Number: has been removed. 

REMOVE: The removed date has been removed for Permit / Tag Number: 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-637,Make Project Setup Hyperlink for associated permit open in a new window.,In Testing,Testing Team,11/20/14 8:19,,11/20/14 8:47,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-639,Error when searching for specific district in NDOT production,Additional Information Needed,James Perry,12/4/14 9:16,"Margaret reports that in the production billboard system when searching for a specific district office (elko) she gets the attached error message. 
",12/5/14 9:45,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-650,Concatenate Business names with address on Utility Relocation for Project Management,Deliver to Client,Testing Team,1/7/15 15:56,,1/7/15 15:58,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-176,Need to NOT populated the Menus and Permissions Exceptions,In Progress - Paused,Unassigned,10/20/11 16:43,ADM27 - Need to NOT populated the Menus and Permissions Exceptions when adding Work Locations on User Details page.,7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-576,Check the time (reviewed time is before the assigned time),In Progress - Paused,Unassigned,5/1/13 17:41,"[cid:image001.png@01CE4682.4AC106A0] 

Margaret Nutt 
Business Process Analyst II 
Nevada Department of Transportation 
1263 South Stewart Street, Room 102 
Carson City, Nevada 89712 
Phone: 775 888-7425 
Mobile: 775-461-6875 
mnutt@dot.state.nv.us<mailto:mnutt@dot.state.nv.us> 



This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",7/10/14 10:46,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-640,Request for new fields on the Project Setup page,Deliver to Client,Testing Team,12/4/14 9:18,"Per Margaret 

I need 4 fields: 
1. Status Order (NUM(3)) 
2. Current Year Countdown (Y/N) 
3. Next Year Countdown (Y/N) 
4. 5 Year Plan (Y/N) 

~/acquisition/Project_Management/ProjectSetup.aspx 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-648,Project Management - Assignment clears the page,Deliver to Client,Testing Team,1/7/15 8:21,"From Margaret 

Argument 'Number' cannot be converted to a numeric value. at Microsoft.VisualBasic.Conversion.Str(Object Number) at Transportation.Acquisition.ProjectParcelInfo.GetRowEngTech(Object Parcelid) at UserControls_ProjectInformation.LoadProjectParcelDetails() at UserControls_ProjectInformation.Page_Load(Object sender, EventArgs e) 1/5/2015 9:14:12 AM 10789 ASP.acquisition_usercontrols_projectinformation_ascx 

I assigned a Project and tried to edit and it clears the whole page. But if I click on the General Information page then the Project Assignment it display everything fine. 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Client Reported,Functionality Incomplete,IRWIN-649,Project Management - Invalid Input String when saving Project Information,Deliver to Client,Testing Team,1/7/15 8:22,"ORA-22062: invalid input string [] at SDS_ODP_DAL.ODP_DAL.ExecuteDataSet(String connectionString, String procedureName, Object[]& parameters) at Transportation.Datasources.OracleDatasource.ExecuteQuery(String spName, Object[]& params) at Transportation.Acquisition.ProjectParcelInfo.GetParcelOwners(Object projectId, Object projectVersion, Object parcelId) at UserControls_ProjectInformation.LoadPropertyOwner() at UserControls_ProjectInformation.LoadProjectParcelDetails() at UserControls_ProjectInformation.Page_Load(Object sender, EventArgs e) 1/5/2015 10:54:39 AM 10789 ASP.acquisition_usercontrols_projectinformation_ascx",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Client Reported,System Error,IRWIN-651,PARTY_TYPE field invalid index value '0',Deliver to Client,Testing Team,1/19/15 14:22,"Tried to upload a document. When a project is setup, there is a Project Authorization and maps that needs to be uploaded and there is no information at this time. And Good Morning!",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Client Reported,System Error,IRWIN-652,"Action failed - Conversion from string """" to type ""Double"" is not valid",Deliver to Client,Testing Team,1/19/15 14:24,"I tried to add a parcel and “Action Failed” when I tried to save but if I refresh the page, it appears to have saved.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Client Reported,System Error,IRWIN-653,"Associated Documents failes with ""User has not been logged in""",Deliver to Client,Testing Team,1/19/15 14:25,Clicked on the Associated Document page and clicked on the View to vie the contract and received this Verified the login in web.config and it works if I login using the credentials. (Associated Document worked fine in Permits),2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-153,Search screen Date Field not working properly,Reopened,Unassigned,10/4/11 16:11,"Date field will not search if I enter a date. Need to remove timestamp. 
When adding to the Table Linkages in Admin Module. 
PRM_LOCATION.START_ROUTE_ID then not able to search for Permit.",7/10/14 10:46,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-1,Add Business Name,Closed,Unassigned,5/17/11 16:48,"Add Shoshone-Paiute Tribes 

The mailing address and phone number: 
Shoshone-Paiute Tribes 
PO Box 219 
Owyhee, NV 89832 
(208) 759-3100 

Is there a place on the temp permits law enforcement signature page for the BIA (federal) or Tribal Police (local) signatures? I saw NHP, County, and City but no place to enter other law enforcement agencies. I honestly don't remember this ever coming up before. 

And on the additional terms, it looks like the IRWIN form doesn't have the same #1-5 that are on the current temporary permit form page 2. Term 1 probably doesn't apply any more, but the others should be added to either the form itself or the drop-down selections for additional terms and conditions. I attached a copy of page 2 so you can see what I'm referring to. Or are they there and I just missed them...? 
",2/3/15 15:33,NDOT - IRWIN,,,
